Rank,Race No,Name,Nation,CountryCode,Club,Category,Time,Behind
1,1,Mbacha Eric Mangeh,Cameroon,CMR,Yleisurheilu PORI,,2:24:00,-
2,2,Oscar Holmström,Finland,FIN,Esbo IF,,2:29:26,+5:26
3,866,Bartosz Olszewski,Poland,POL,,,2:29:47,+5:47
4,5,Silviu Stoica,Romania,ROU,CS Stiinta Bucharest / Romania,,2:30:24,+6:24
5,3,Matti Jonkka,Finland,FIN,,,2:40:32,+16:32
6,4,Simone Carniglia,Italy,ITA,,,2:44:10,+20:11
7,6,Jussi Ernamo,Finland,FIN,HIFK,M40,2:45:13,+21:13
8,7,Marius Dijokas,Lithuania,LTU,Capital Runners Vilnius,M40,2:47:42,+23:43
9,18,Erika Lehtola,Finland,FIN,Korpi-Espoo,,2:51:43,+27:43
10,16,Johanna Antila,Finland,FIN,Salomon Trail Team Finland,N40,2:52:43,+28:43
11,15,Amos Nordman,Finland,FIN,Borgå Akilles,,2:53:49,+29:49
12,11,Henrik Rantala,Finland,FIN,,,2:54:03,+30:03
13,70,Tijmen van Paasen,Netherlands,NED,,,2:55:02,+31:02	
14,32,Janne Laakkonen,Finland,FIN,FMR,M50,2:55:52,+31:52	
15,31,Ilkka Korhonen,Finland,FIN,,,3:00:49,+36:50
16,892,Jarmo Suoranta,Finland,FIN,Urheiluseura Loputon Hiki,M40,3:04:54,+40:55
17,26,Mark Griffiths,Great Britain,GBR,,M40,3:05:22,+41:22
18,27,Kristo Halme,Finland,FIN,Karkkilan maratonklubi /Kunnon,M45,3:05:41,+41:41	
19,51,Tony Träskelin,Finland,FIN,,M40,3:06:11,+42:11
20,131,Vinha Rechardt,Finland,FIN,,,3:06:13,+42:13
21,23,Bart Van Sloten,Netherlands,NED,,,3:06:31,+42:32
22,94,Topi Koskinen,Finland,FIN,,,3:07:58,+43:58
23,889,Sampsa Suvela,Finland,FIN,Los lobos locos,,3:08:49,+44:49
24,360,Lauri Toivonen,Finland,FIN,,,3:09:41,+45:41
25,81,Santeri Mulari,Finland,FIN,Commando Runners,,3:10:42,+46:42
26,17,Antti Anttonen,Finland,FIN,Hollola Runners,M40,3:11:14,+47:14
27,146,Matias Turkulainen,Finland,FIN,,,3:12:31,+48:31
28,73,Markus Fleischmann,Germany,GER,,,3:13:05,+49:05
